time,batteryLevel,Speed,Servo
"26-12-2022, 13:31:31",88,41,85
"26-12-2022, 13:31:32",86,38,89
"26-12-2022, 13:31:34",86,37,92
"26-12-2022, 13:31:36",85,39,97
"26-12-2022, 13:31:41",84,39,99
"26-12-2022, 13:35:36",84,39,99
"26-12-2022, 13:35:37",84,39,99
"26-12-2022, 13:35:38",88,41,85
"26-12-2022, 13:35:39",86,38,89
"26-12-2022, 13:35:40",88,41,85
"26-12-2022, 13:35:41",86,38,89
"26-12-2022, 13:39:53",86,38,89
"26-12-2022, 13:40:12",88,41,85
"28-12-2022, 11:19:47",86,36,92
"28-12-2022, 11:22:27",86,36,92
"28-12-2022, 11:22:33",86,36,92
"28-12-2022, 11:22:37",86,36,92
"28-12-2022, 11:22:38",86,36,92
"29-12-2022, 15:35:47",85,35,92
"29-12-2022, 15:58:45",85,35,92
"29-12-2022, 16:04:20",85,35,92
"29-12-2022, 16:12:43",85,35,92
"29-12-2022, 16:23:48",83,35,94
"29-12-2022, 16:23:50",83,35,94
"29-12-2022, 16:23:55",83,35,94
"29-12-2022, 16:24:00",83,35,94
"29-12-2022, 16:24:05",83,35,94
"29-12-2022, 16:24:10",83,35,94
"29-12-2022, 16:24:15",83,35,94
"29-12-2022, 16:24:20",83,35,94
"29-12-2022, 16:24:25",83,35,94
"29-12-2022, 16:24:30",83,35,94
"29-12-2022, 16:24:35",83,35,94
"29-12-2022, 16:24:40",83,35,94
"29-12-2022, 16:24:45",83,35,94
"29-12-2022, 16:24:50",83,35,94
"29-12-2022, 16:24:55",83,35,94
"29-12-2022, 16:25:00",83,35,94
"29-12-2022, 16:25:05",83,35,94
"29-12-2022, 16:25:10",83,35,94
"29-12-2022, 16:25:15",83,35,94
"29-12-2022, 16:25:20",83,35,94
"29-12-2022, 16:25:25",83,35,94
"29-12-2022, 16:25:30",83,35,94
"29-12-2022, 16:25:35",83,35,94
"29-12-2022, 16:25:40",83,35,94
"29-12-2022, 16:25:45",83,35,94
"29-12-2022, 16:25:50",83,35,94
"29-12-2022, 16:25:55",83,35,94
"29-12-2022, 16:26:00",83,35,94
"29-12-2022, 16:26:05",83,35,94
